shortcode,url,type,taken_at,timestamp,likes,comments,views,engagement_rate,caption,thumbnail
DZYLjaoiU4X,https://www.instagram.com/p/DZYLjaoiU4X/,carousel,2026-06-09T20:02:17.000Z,1781035337,47,2,,0.7034,"📢 Once again, our school has been recognized with the Family’s Choice seal, awarded by School Advisor. 🏅 This seal is proof of our educational excellence and commitment to the quality of the experience offered. It is a special recognition, as it stems from the perspective and voice of our families, who highlight the welcoming atmosphere, the pedagogical approach, and the holistic development of the students. 🤩 This achievement is the result of our partnership! To everyone who trusts Colégio Mater Dei Bilingual Education and walks with us on this mission: our heartfelt THANK YOU! ❤️  📢 Novamente, nosso Colégio foi reconhecido com o selo Family’s Choice, concedido pela School Advisor. 🏅 Esse selo é a prova da nossa excelência educacional e compromisso com a qualidade da experiência oferecida. É um reconhecimento especial, pois nasce do olhar e da voz das nossas famílias, que destacam o acolhimento, a proposta pedagógica e o desenvolvimento integral dos alunos. 🤩 A conquista é resultado da nossa parceria! A todos que confiam no Colégio Mater Dei Bilingual Education e caminham conosco nesta missão: o nosso MUITO OBRIGADO! ❤️",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/719918815_18597760975061906_8508151761840143055_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=MzkxNTkzMDU2NDI0MDQ4Mzg1Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=x6fRB8FIh6sQ7kNvwF5DsOI&_nc_oc=AdrvQq2p-PCzxZTeUnq4ru_tCxNfiesuXI9boIFSDpH-wrzoEv3k0GEfcWgxF5eo4ZM74wvExboijqJqKYRQa7iG&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af-AfABAK20GYi37i6b3ZbKHQNRz6Z815jUw6e_X9CXx6w&oe=6A2F7E9F
DZXtZWnERxP,https://www.instagram.com/p/DZXtZWnERxP/,carousel,2026-06-09T15:38:45.000Z,1781019525,36,1,,0.5312,"Our Middle and High School students recently participated in the OBMEP, one of the most prestigious mathematics olympiads in Brazil. For us, this moment goes far beyond the answer sheets. Taking part in the OBMEP is about practicing resilience, autonomy, and a true passion for learning. This is exactly the core purpose of MaterNext: to create a space where each student's unique talent meets the warm support and the right tools to turn potential into grand opportunities. Congratulations to all of our students who gave their absolute best today!  ----------------------------------------------------------------- Nossos alunos do Ensino Fundamental Anos Finais e do Ensino Médio participaram da OBMEP, uma das olimpíadas de matemática mais prestigiadas do Brasil. Para nós, esse momento vai muito além do gabarito. Participar da OBMEP é exercitar a resiliência, a autonomia e a paixão pelo conhecimento. E é exatamente esse o propósito do MaterNext: apresentar oportunidades onde o talento de cada aluno encontra o acolhimento necessário e as ferramentas certas para se transformar em grandes oportunidades. Parabéns a todos os nossos alunos que deram o seu melhor hoje!",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/721415535_18597694069061906_435687137607512314_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=111&ig_cache_key=MzkxNTc5Nzc3ODY1MTMzOTg3OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=sOliyc9NnhYQ7kNvwGm27SK&_nc_oc=AdoBX4cgvIo_WWTH9m2tnwjUsHCIl1R_XZJb8dRUTJKz-FTpWQamkffnRh47uShuQn0w14lvxebucYQKjb71kmbC&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af-EqgRwH1as7QfIg0148uSlruOaNJJa0N_dru9d_pQx7g&oe=6A2F87BA
DZVs8XXJHj4,https://www.instagram.com/reel/DZVs8XXJHj4/,video,2026-06-08T20:57:32.000Z,1780952252,60,0,,0.8613,"Where knowledge comes to life and gains meaning!  Over the past few weeks, our K4 and K5 classes developed a research project on marine ecosystems. For us, learning is truly consolidated when it goes beyond the classroom walls and connects with reality. Our field trip to the São Paulo Aquarium was the pinnacle of this process. Seeing the animals studied up close transformed theory into pure enthusiasm and admiration. Guided by our attentive staff and backed by the safety of an environment that embraces every discovery, we build memories that shape childhood and fuel the desire to learn. ----------------------------- Onde o conhecimento ganha vida e significado!  Nas últimas semanas, as turmas do K4 e K5 desenvolveram um projeto de investigação sobre os ecossistemas marinhos. Para nós, o aprendizado se consolida quando ultrapassa as paredes da sala de aula e se conecta com a realidade.  Nossa saída pedagógica ao Aquário de São Paulo foi faz parte desse processo. Ver de perto os animais estudados transformou a teoria em puro entusiasmo e admiração.  Com a mediação atenta de nossa equipe e a segurança de um ambiente que acolhe cada descoberta, construímos memórias que marcam a infância e alimentam o desejo de aprender.",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/719813301_1477566370246797_5808779002278750278_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=MzkxNTIzMzExMzM2NzkzNTIyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=kX656gKYiO8Q7kNvwGV_jEZ&_nc_oc=AdoMIXUSGahWdXxE2AR2sFOSo9vSB2PGCmMRmPCdshpOSuGkMex1VuqTiezUVJ5EY5_OHN5oBgNquayig9DpE3Fi&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af_fJAjsoqJ2KMSkK4KqiZulaI82IKiKKJ5q_cCXvYCFzg&oe=6A2F7F80
DZVD966RcRh,https://www.instagram.com/p/DZVD966RcRh/,image,2026-06-08T14:58:18.000Z,1780930698,67,0,,0.9618,"Look out! Our ""Arraiá Arte na Roça"" is just around the corner!   The grand Arraiá at Colégio Bilíngue Mater Dei has its date and time set, and our doors are wide open for everyone! Our entire community is more than welcome: students, families, friends, and, of course, our cherished alumni, who now have the wonderful chance to relive their school memories alongside their own children. Come reconnect with old friends and teachers!  Get ready for a day packed with fun, traditional foods, dancing, and the heartwarming reunion of the Mater Dei Family.   Solidarity Admission: Please contribute by bringing 1 kg of non-perishable food.  ----------------------------------------------  Eita, que o Arraiá Arte na Roça está chegando!  A grande festa junina do Colégio Bilíngue Mater Dei já tem data e hora marcadas, e a porteira está aberta para todo mundo!  Toda a nossa comunidade é mais do que bem-vinda: alunos, familiares, amigos e, claro, nossos eternos ex-alunos, para reviver os momentos da escola junto com seus filhos. Venha rever os amigos e os professores!   Prepare-se para um dia cheio de diversão, comidas típicas, dança e o encontro da Família Mater Dei.  Entrada Solidária: 1 kg de alimento não perecível.",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/718953263_18597394963061906_4592219374201562015_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=MzkxNTA1MjkwMDM1MDgwNTA4OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTE1Mi5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=k86f8UqgN84Q7kNvwHKoEJ8&_nc_oc=Ado9cSofizNDOv6x33r6L0mvJo3ViwfS1zPK8PmOtigvH6LRbGlq2WowyGva64DMdN7UJ-1tP8-WmkM3UUdxVzfO&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af_CV2tDefhzVHCWtsF7Sh_lXYwPRVJRqNDm5pB9bCGkYQ&oe=6A2F8065
DZIv01ZCYhH,https://www.instagram.com/p/DZIv01ZCYhH/,carousel,2026-06-03T20:11:23.000Z,1780517483,31,0,,0.445,"Students from the 8th and 9th grades of Middle School and throughout High School are participating in the Portuguese Language Olympiad, an initiative that reinforces our commitment to academic excellence. Participation in knowledge-based competitions is a fundamental stage in school preparation, as it requires students to apply writing skills and linguistic analysis in complex contexts. Mastering formal language and developing deep text interpretation are essential skills—not only for performance on university entrance exams but for the formation of citizens capable of communicating with clarity and authority. By facing these challenges, students exercise critical thinking and become accustomed to the demands of future external evaluations, consolidating the learning built within the classroom.  Maternext is the program focused on preparing students for the challenges of both the present and the future. ----‐------------- Os estudantes do 8º e 9º anos do Ensino Fundamental e do Ensino Médio estão participando da Olimpíada de Português, uma iniciativa que reforça o compromisso com a excelência acadêmica. A participação em exames de conhecimento é uma etapa fundamental na preparação escolar, pois exige que o aluno aplique competências de escrita e análise linguística em contextos complexos. Dominar a norma culta e desenvolver uma interpretação de texto profunda são habilidades essenciais não apenas para o desempenho em vestibulares, mas para a formação de cidadãos capazes de se comunicar com clareza e autoridade. Ao enfrentar esses desafios, os alunos exercitam o raciocínio crítico e se habituam ao nível de exigência das futuras avaliações externas, consolidando o aprendizado construído em sala de aula.  O Maternext é o programa focado em preparar o estudante para os desafios do presente e do futuro.",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/716269992_18596017888061906_9079352031557966048_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=106&ig_cache_key=MzkxMTU4NjI2NjMwMDc2NjU1OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=kErpv49_kK8Q7kNvwHimCtp&_nc_oc=AdoI6d9f9bRazKhuaCyPcgCwiAEYK7lNZyR-HBJiwKA8AlzcqWkcQrK6_TRl-pvTMF3FUkw782ywDi6fDp8VCauH&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af--DWUC_a8P8mayHQI4FpFdLCMdsvZbZFZsNkLeYOMmCg&oe=6A2FA3DE
DZIOlFxxTNA,https://www.instagram.com/p/DZIOlFxxTNA/,image,2026-06-03T15:20:55.000Z,1780500055,11,0,,0.1579,"Today, our 12th-grade students were guided through the registration process for ENEM 2026.   Why is ENEM so important?  More than just an exam, the National High School Exam is the primary gateway to higher education in Brazil. It opens doors to public universities, scholarships, and student financing, turning dreams into reality. Preparation is Our Foundation  We know the challenge is great. ENEM requires more than just knowledge—it demands strategy, endurance, and emotional intelligence.  Here at school, our preparation goes far beyond theory. We are focused on:  Frequent Mock Exams to master time management.  Redação nota 1000 focusing on current events and critical thinking.  Emotional Support, because a balanced mind learns better.  ""Success is the sum of small efforts, repeated day in and day out.""  Congratulations to all our students who took this important step today. ------------------------------------------------------------------- Hoje, nossos alunos da 3ª série do Ensino Médio foram instruídos a realizar o preenchimento da inscrição do ENEM 2026.   Por que o ENEM é tão importante?  Mais do que uma prova, o Exame Nacional do Ensino Médio é a principal porta de entrada para o ensino superior no Brasil.  A Preparação é a Nossa Base  Sabemos que o desafio é grande. O ENEM exige não apenas conteúdo, mas estratégia, resistência e inteligência emocional.  Aqui na escola, nossa preparação vai além da teoria. Estamos focados em:  Simulados constantes para controle de tempo.  Redação nota 1000 com temas atuais e debates críticos.  Apoio emocional, afinal, mente descansada aprende melhor.  ""O sucesso é a soma de pequenos esforços repetidos dia após dia.""  Parabéns a todos os alunos que deram esse passo hoje",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/715516538_18595937098061906_1421712648648088451_n.heic?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=MzkxMTQ0MDM5Nzg0Njc4Njg4MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=HvIaLfFtZcoQ7kNvwFt8n5b&_nc_oc=Adoez_MF6fW190gxqmKcD40exEhx0UZo29oDR3RilWsPDBxwrXlcA7XLyq9jAX9C4zipT1QJphaQW16gcJOGM7FG&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af9jlZd43HxM-UvAuj-Z-0aG18CHqXzw50a3il2zMKjPJA&oe=6A2F9B03
DZGOqIYpqh3,https://www.instagram.com/reel/DZGOqIYpqh3/,video,2026-06-02T20:43:55.000Z,1780433035,61,6,,0.9618,"It all started with a tiny caterpillar and a world of wonder! To wrap up our Global Project, our Nurserys enjoyed a special picnic inspired by The Very Hungry Caterpillar. It was a day of colors, flavors, and meaningful discoveries in English.  More than just learning new words, they are experiencing the magic of growing up. These little caterpillars are now ready to fly! Join us at our Global Fair to see their colors shine!  ---------------------------- Tudo começou com uma pequena lagarta e um mundo de descobertas! Para encerrar nosso Projeto Global, nossos pequenos do Nursery aproveitaram um piquenique especial inspirado na história, The Very Hungry Caterpillar. Foi um dia de cores, sabores e descobertas significativas em inglês. Mais do que aprender novas palavras, eles estão vivenciando a magia de crescer. Essas pequenas lagartas agora estão prontas para voar! Junte-se a nós na Global Fair para ver as cores deles brilharem!",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/713284065_1688311905621232_3610847088189609331_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=MzkxMDg3Nzc5NDI5MDU0MjcxMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=f-MSPI_JoG0Q7kNvwGJPKO3&_nc_oc=AdrSOcLlKWwiOQ73r0YBfKMqfklFP27kdUUCaAIQdpN-wQqU1pVG4CRyiipzkWR5AetCCxk79T4S86H4DFHoIIb9&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af9XWcR7_dPdRxGB_MT8ABcYQu7NOMFovZYklE9OyCHLSQ&oe=6A2F8599
DZDbIiSiVzH,https://www.instagram.com/p/DZDbIiSiVzH/,carousel,2026-06-01T18:34:22.000Z,1780338862,31,1,,0.4594,"The Maker Lab hosted our Pre-Kinder students from Miss Party for a hands-on immersion in computational thinking. Through unplugged programming, the Global Program exercises logic in a concrete way, establishing the fundamental foundations for complex problem-solving. The transition to the Scratch platform allowed students to apply these concepts in a digital environment, transforming commands into functional and creative sequences. This approach develops essential cognitive skills, such as analytical reasoning and idea structuring, empowering them to interact with technology as protagonists. More than just learning a language, our students are being prepared to master the tools that shape the contemporary world.  ------------------------------------------- A Sala Maker recebeu os alunos do Pre-Kinder da Miss Party para uma imersão prática em pensamento computacional. Através da programação desconstruída, o Global Program exercita a lógica de forma concreta, estabelecendo as bases fundamentais para a resolução de problemas complexos. A transição para a ferramenta Scratch permitiu que os alunos aplicassem esses conceitos em um ambiente digital, transformando comandos em sequências funcionais e criativas. Essa abordagem desenvolve habilidades cognitivas essenciais, como o raciocínio analítico e a estruturação de ideias, capacitando-os a interagir com a tecnologia de forma protagonista e autoral. Mais do que aprender uma linguagem, nossos alunos estão sendo preparados para dominar as ferramentas que moldam o mundo contemporâneo.",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/711786946_18595374694061906_8712094960956125812_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=MzkxMDA4ODIyMDYwMzkzOTczMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=EowB_xkHsA8Q7kNvwF1dgbQ&_nc_oc=AdrX9MQ11OFcLokdsR10in-1T7rZyN95pmlSIDlogeBdEB26SJoNAuthS3nN7au4jS57yrdaTy_pMvfzl2VAfzqu&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af-hyl4LEWjLDc3mC-lsq2UbYjoPDYJVL3hkAHjS2Y4ksg&oe=6A2F8DEB
DZDBxtskQif,https://www.instagram.com/p/DZDBxtskQif/,carousel,2026-06-01T14:52:48.000Z,1780325568,25,1,,0.3732,"Safety isn’t luck, it’s preparation! This past weekend, we strengthened our commitment to life. Our team completed another ‘Lei Lucas’ training session, diving deep into first aid techniques and accident prevention.More than just complying with the law, we are investing in what is most precious to us: our families’ peace of mind and our students’ safety.A prepared school is a school that embraces responsibility.  ------------------------- Segurança não é sorte, é preparo!Neste final de semana, reforçamos nosso compromisso com a vida. Nossa equipe concluiu mais uma capacitação da Lei Lucas, mergulhando em técnicas de primeiros socorros e prevenção de acidentes.",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/711466577_18595312828061906_492375822278536670_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=MzkwOTk3NjA4NDgxNjY2NzkyNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=MsMttrXlgBQQ7kNvwEw_1ij&_nc_oc=Adr5qT7JuRpBLsZAeFtvK1IzAjhZfth0rY-33bZ1eplZ5B3_dDRoBRwdPH4OOUXsILtpvbJacFcxTbVpKqXUSt3b&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af8tXkSN06FXGDeObQgTYQ4US1gEh6P4mWdO8vBd2bv2fg&oe=6A2F8DC6
DY773YZJFHE,https://www.instagram.com/reel/DY773YZJFHE/,video,2026-05-29T20:47:17.000Z,1780087637,68,2,,1.0049,"In our Cup, we don’t just focus on who scores the goal, but on who lends a hand to a fallen teammate. It is through this connection and mutual respect that socialization happens in an organic and safe way.  ------ Na copinha nós não focamos apenas em quem faz o gol, mas em quem estende a mão para o amigo que caiu. É nessa troca, nesse respeito mútuo, que a socialização acontece de forma orgânica e segura.",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/709723334_1005800735153936_4136023092241613648_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=MzkwNzk4MDM5MjE4MTAyNzI2OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=evrd4oRSQuMQ7kNvwE8LjKR&_nc_oc=Adru1kAqhsFHn2EPCSQxMbX4hYg2tmp7tJk1-KQWFUt2G0sHS8MT4kdFjo9a5djGn3VGv8HMRpI84JzK25Jl7dMd&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af-NNEw91Ng5tJcbfQR0yDjHCyGxlwlclloc1ffYRgJpJA&oe=6A2FA810
