shortcode,url,type,taken_at,timestamp,likes,comments,views,engagement_rate,caption,thumbnail
DZVs8XXJHj4,https://www.instagram.com/reel/DZVs8XXJHj4/,video,2026-06-08T20:57:32.000Z,1780952252,60,0,,0.8613,"Where knowledge comes to life and gains meaning!  Over the past few weeks, our K4 and K5 classes developed a research project on marine ecosystems. For us, learning is truly consolidated when it goes beyond the classroom walls and connects with reality. Our field trip to the São Paulo Aquarium was the pinnacle of this process. Seeing the animals studied up close transformed theory into pure enthusiasm and admiration. Guided by our attentive staff and backed by the safety of an environment that embraces every discovery, we build memories that shape childhood and fuel the desire to learn. ----------------------------- Onde o conhecimento ganha vida e significado!  Nas últimas semanas, as turmas do K4 e K5 desenvolveram um projeto de investigação sobre os ecossistemas marinhos. Para nós, o aprendizado se consolida quando ultrapassa as paredes da sala de aula e se conecta com a realidade.  Nossa saída pedagógica ao Aquário de São Paulo foi faz parte desse processo. Ver de perto os animais estudados transformou a teoria em puro entusiasmo e admiração.  Com a mediação atenta de nossa equipe e a segurança de um ambiente que acolhe cada descoberta, construímos memórias que marcam a infância e alimentam o desejo de aprender.",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/719813301_1477566370246797_5808779002278750278_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=MzkxNTIzMzExMzM2NzkzNTIyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=kX656gKYiO8Q7kNvwGV_jEZ&_nc_oc=AdoMIXUSGahWdXxE2AR2sFOSo9vSB2PGCmMRmPCdshpOSuGkMex1VuqTiezUVJ5EY5_OHN5oBgNquayig9DpE3Fi&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af_fJAjsoqJ2KMSkK4KqiZulaI82IKiKKJ5q_cCXvYCFzg&oe=6A2F7F80
DZGOqIYpqh3,https://www.instagram.com/reel/DZGOqIYpqh3/,video,2026-06-02T20:43:55.000Z,1780433035,61,6,,0.9618,"It all started with a tiny caterpillar and a world of wonder! To wrap up our Global Project, our Nurserys enjoyed a special picnic inspired by The Very Hungry Caterpillar. It was a day of colors, flavors, and meaningful discoveries in English.  More than just learning new words, they are experiencing the magic of growing up. These little caterpillars are now ready to fly! Join us at our Global Fair to see their colors shine!  ---------------------------- Tudo começou com uma pequena lagarta e um mundo de descobertas! Para encerrar nosso Projeto Global, nossos pequenos do Nursery aproveitaram um piquenique especial inspirado na história, The Very Hungry Caterpillar. Foi um dia de cores, sabores e descobertas significativas em inglês. Mais do que aprender novas palavras, eles estão vivenciando a magia de crescer. Essas pequenas lagartas agora estão prontas para voar! Junte-se a nós na Global Fair para ver as cores deles brilharem!",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/713284065_1688311905621232_3610847088189609331_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=MzkxMDg3Nzc5NDI5MDU0MjcxMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=f-MSPI_JoG0Q7kNvwGJPKO3&_nc_oc=AdrSOcLlKWwiOQ73r0YBfKMqfklFP27kdUUCaAIQdpN-wQqU1pVG4CRyiipzkWR5AetCCxk79T4S86H4DFHoIIb9&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af9XWcR7_dPdRxGB_MT8ABcYQu7NOMFovZYklE9OyCHLSQ&oe=6A2F8599
DY773YZJFHE,https://www.instagram.com/reel/DY773YZJFHE/,video,2026-05-29T20:47:17.000Z,1780087637,68,2,,1.0049,"In our Cup, we don’t just focus on who scores the goal, but on who lends a hand to a fallen teammate. It is through this connection and mutual respect that socialization happens in an organic and safe way.  ------ Na copinha nós não focamos apenas em quem faz o gol, mas em quem estende a mão para o amigo que caiu. É nessa troca, nesse respeito mútuo, que a socialização acontece de forma orgânica e segura.",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/709723334_1005800735153936_4136023092241613648_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=MzkwNzk4MDM5MjE4MTAyNzI2OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=evrd4oRSQuMQ7kNvwE8LjKR&_nc_oc=Adru1kAqhsFHn2EPCSQxMbX4hYg2tmp7tJk1-KQWFUt2G0sHS8MT4kdFjo9a5djGn3VGv8HMRpI84JzK25Jl7dMd&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af-NNEw91Ng5tJcbfQR0yDjHCyGxlwlclloc1ffYRgJpJA&oe=6A2FA810
DY706FUJntG,https://www.instagram.com/reel/DY706FUJntG/,video,2026-05-29T19:46:20.000Z,1780083980,143,1,,2.0672,"Every year, the Global High School Program does 20 hours of community service as a mandatory requirement. This year, we’ve decided to help animal shelters, and have gotten in contact with the NGO “ONG Azul’’. As winter approaches, the shelter is struggling to buy essentials such as food, health supplies and services, among others. Having this in mind, we, the High School students, ask for your help with food donations to support ONG Azul in this harsh season.   If you are able to help, the food needed by the NGO should be cat or dog food, wet or dry. You can leave it in the box at your school. ------------- Todos os anos, o programa Global High School realiza 20 horas de serviço comunitário como um requisito obrigatório. Este ano, decidimos ajudar abrigos de animais e entramos em contato com a ""ONG Azul"". Com a chegada do inverno, o abrigo está enfrentando dificuldades para comprar itens essenciais como alimentos, suprimentos de saúde e serviços, entre outros. Pensando nisso, nós, alunos do High School, pedimos sua ajuda com doações de ração para apoiar a ONG Azul nesta estação rigorosa. Se você puder ajudar, a ONG necessita de ração para cães ou gatos, seca ou úmida. Você pode deixá-la na caixa disponível em sua escola.",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/708154755_1534648611674347_6046457766665466569_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=MzkwNzk0OTc5MTUyOTA0MDcxMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=ScSbAWmHFDoQ7kNvwGQYCrF&_nc_oc=AdpXA3_aVvPb6-RksiRlYmIqDq26ty6qsN_VT0QJmRqxeixu1fQGEDHNmGOEDs2zgJWRMldTgZ3UA9RVSt375RZq&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=D6pmoLMOfcYLufq72Piacg&_nc_ss=7a22e&oh=00_Af8IgsZU5ZyS9-ZQ4I9qDmEadWHQz3znDIIlTiTqrCjBBA&oe=6A2F790A
DYxgv5Upv-b,https://www.instagram.com/reel/DYxgv5Upv-b/,video,2026-05-25T19:39:14.000Z,1779737954,41,0,,0.5886,"Did you know that our routine is designed to spark discoveries?  Our playdough activities, a staple in our school daily life, take on a new dimension when we prioritize natural ingredients. In addition to ensuring a much safer experience for the children, using natural elements transforms learning into a sensory feast. During this Creative Morning, families experienced firsthand how we integrate cinnamon, rosemary, and basil, among other elements, to stimulate the sense of smell and cognitive perception, going far beyond fine motor skills. It was amazing to see the synergy between school and home, validating processes that encourage curiosity in a healthy, safe, and meaningful way! ----------------- Você sabia que a nossa rotina é planejada para despertar descobertas?  A atividade com massinha, presente no cotidiano escolar, ganha uma nova dimensão quando priorizamos uma composição natural. Além de garantir uma experiência muito mais segura para as crianças, o uso de elementos da natureza transforma o aprendizado em um banquete sensorial. Nesta Manhã Criativa, as famílias puderam vivenciar de perto como integramos canela, alecrim, flores,manjericão, entre outros, para estimular o olfato e a percepção cognitiva, indo muito além da coordenação motora. Foi sensacional ver essa sinergia entre escola e casa, validando processos que estimulam a curiosidade de forma saudável, segura e cheia de significado!",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/706831695_1394477212425375_2653353010774241406_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=MzkwNTA0NjM4MDc2MDQ2NTMwNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=JGi6sq-fBegQ7kNvwGj4Si1&_nc_oc=Adruv4OL9Vr8S9fevMot0NhNXYtQURhGMsP65PJfBYzhzpmjrKXS6FepnfPOqQ4-KbnaCxD1WVqMVjc_s_8D-bFa&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=1WF1S_nEwSh3ZKm7_U4QsA&_nc_ss=7a22e&oh=00_Af-5MJTxGixMkQ7CRz7LJpmcoKT9FJoWf82DFn13da7zmg&oe=6A2F7A3D
DYr6Fm0Rsl8,https://www.instagram.com/reel/DYr6Fm0Rsl8/,video,2026-05-23T15:23:48.000Z,1779549828,73,9,,1.1771,"Look out! We have a new hire on our communications team!  Today, our Creative Morning was captured through a very special lens: the perspective of someone who lives and breathes our school every day. Our 'reporter for a day' interviewed our Director, Sueli Cain, and our families. Check out the highlights of our morning through this report full of authenticity! ---------------------------------------------------------- Opa, temos uma nova contratada no nosso time de comunicação!  Hoje, a nossa Manhã Criativa ganhou um olhar todo especial: o de quem vive a escola todos os dias. Nossa ""repórter por um dia"", entrevistou a Diretora Sueli Cain e as famílias. Confira os destaques da nossa manhã através dessa reportagem cheia de autenticidade!",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/705320624_2652359505157991_3732430443542821861_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=MzkwMzQ2ODk3NDAyMDkzODEwOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=k759BseX7pEQ7kNvwF9omaR&_nc_oc=AdqV6SiOxm3l25Eyb_3dmEoWEzvRZw8AQLoc4EpLMhf6o7o2KWkg5uSzvc8ztp_rnBgg7Gr7O_bv4jsrip9ZqIAd&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=1WF1S_nEwSh3ZKm7_U4QsA&_nc_ss=7a22e&oh=00_Af9l-z56ELSKjPZpRnk-MUdU2OKpUXjQxA-BO2Hf3Y98Hw&oe=6A2F8F73
DYrlYV_RwPT,https://www.instagram.com/reel/DYrlYV_RwPT/,video,2026-05-23T12:22:41.000Z,1779538961,76,0,,1.091,"We opened our Creative Morning: Body in Motion with the singing of the National Anthem. This moment is so much more than a protocol; it is an exercise in citizenship and a symbol of the unity within our school community. Seeing our students, side by side with their families and teachers, respecting and celebrating our roots, brings a sense of belonging that truly overflows. It is in this atmosphere of collaboration and togetherness that we begin our workshops. First respect, then movement, and always affection. We are ready for an unforgettable Saturday! ----------------------------------------------------- Abrimos nossa Manhã Criativa: Corpo em Movimento com a execução do Hino Nacional.  O momento do Hino Nacional é muito mais que um protocolo; é um exercício de cidadania e um símbolo da união de nossa comunidade escolar. Ver nossos alunos,  lado a lado com suas famílias e professores, respeitando e celebrando nossas raízes, traz um sentimento de pertencimento que transborda.  É nesse clima de colaboração e união que iniciamos nossas oficinas. Primeiro o respeito, depois o movimento, e sempre o afeto. Estamos prontos para um sábado inesquecível!",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/705374891_1537598104697860_6087592488184978715_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=MzkwMzM3NzkwMjY0NTIxNjIxMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=Nhtc1UT6KXoQ7kNvwGsoHko&_nc_oc=AdqzsHtgC0IEPisxdAy2dUKSY4o8gO8b-hNDTEYzOWlpj2kW9EHxZgbKWL74oQzUfaF--2KKPlFPgFJB_EMHJyYF&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=1WF1S_nEwSh3ZKm7_U4QsA&_nc_ss=7a22e&oh=00_Af8gJHYnCrUzK_K1HZ8YgdfTmlDlNz1wII8ce39kjr6PBA&oe=6A2FA5A9
DYp43TlPGz-,https://www.instagram.com/reel/DYp43TlPGz-/,video,2026-05-22T20:35:51.000Z,1779482151,125,1,,1.8088,"🌐 A Simulação das Conferências da ONU, realizada em 14 e 15 de maio, no Colégio EMECE, foi um sucesso de colaboração e criatividade! 🌍 Alunos do 9º ano e do Ensino Médio dos colégios EMECE, Ítalo e Mater Dei atuaram como verdadeiros diplomatas e jornalistas. 🎤 Com vestimentas formais, eles mergulharam em debates sobre temas globais relevantes. O alto nível da simulação  incluiu a Corte Internacional de Justiça (ICJ), um dos 6 comitês, conduzido integralmente em Inglês. 🇺🇲 Nesta iniciativa, reconhecida pela ONU do Brasil, os estudantes demonstraram protagonismo e desenvolveram habilidades essenciais para o futuro, como: comunicação e oratória; argumentação e pensamento crítico; empatia e trabalho em equipe. ✨ Assim, formamos cidadãos conscientes de seu papel social, desde já!   🌐 The UN Conference Simulation, held on May 14th and 15th at EMECE College, was a resounding success in collaboration and creativity! 🌍 Ninth-grade and high school students from EMECE, Ítalo, and Mater Dei schools acted as true diplomats and journalists. 🎤 Dressed in formal attire, they immersed themselves in debates on relevant global issues. The high level of the simulation included the International Court of Justice (ICJ), one of the 6 committees, conducted entirely in English. 🇺🇲 In this initiative, recognized by the UN in Brazil, the students demonstrated leadership and developed essential skills for the future, such as: communication and public speaking; argumentation and critical thinking; empathy and teamwork. ✨ Thus, we are forming citizens who are aware of their social role, from the very beginning.",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/705137632_18466752139100081_605044851559578634_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=MzkwMjkwMDY0MzI5NDg5OTQ1NDE4NDY2NzUyMTM2MTAwMDgx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEyMTUuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=yGxiqpPff_AQ7kNvwHqMD3q&_nc_oc=Adr8zFePnJ3sIZeMGjF13i-8xhxU-Z09tHkavImtu2-giVLYy2Btkhp-kNE9Kvc4YMEzemlAgBhrNbzFc3CY4NSX&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=1WF1S_nEwSh3ZKm7_U4QsA&_nc_ss=7a22e&oh=00_Af8qX_V4k36ppDc6RmNKN5rkH2c17rVB6WrNLRdIBOAqSQ&oe=6A2F9829
DYkqNvBJm_6,https://www.instagram.com/reel/DYkqNvBJm_6/,video,2026-05-20T19:50:02.000Z,1779306602,40,2,,0.6029,"Kicking off a new investigation, ""Searching for Creatures,"" our K4 students dived into the fascinating underwater world and experienced, in a playful and fun way, what life is like beneath the waves.  During this stimulating experience, they met various marine animals, explored their characteristics, and discovered fascinating facts about each one's habitat—a process that fosters autonomy and expands our little ones' knowledge of the ocean universe. To make this pedagogical adventure even more special and heartwarming, we welcomed a visit from a friendly shark pal, who enchanted the children and further sparked their interest and natural curiosity about marine life. ------------------------------ Dando início a uma nova investigação, “Procurando Seres”, os alunos do K4 mergulharam no fascinante mundo do fundo do mar e vivenciaram, de forma lúdica e divertida, como é a vida embaixo da água.  Durante essa experiência rica em estímulos, eles conheceram diversos animais marinhos, exploraram suas características e descobriram curiosidades sobre o habitat de cada um deles — um processo que desperta a autonomia e amplia o conhecimento dos nossos pequenos sobre o universo dos oceanos. Para tornar essa aventura pedagógica ainda mais especial e afetiva, recebemos a visita de um simpático amigo tubarão, que encantou as crianças e estimulou ainda mais o interesse e a curiosidade natural pela vida marinha.",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/704307160_1320563873350262_624416277686013419_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=MzkwMTQyODgzOTAwMTUxODA3NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=UdA-3gqUEKAQ7kNvwHqGSz8&_nc_oc=Adp-AbFycPjkvWEsqWlu8435miHRe9USdar3i3z87jQ-ufp4hnP5szP0NdaCWHpAJmfraQrL0ChVV-hpHZbW7wnF&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=1WF1S_nEwSh3ZKm7_U4QsA&_nc_ss=7a22e&oh=00_Af_9C2e0xkDBZIfPUaaTm6PHRDi8LpPs4unzmCzLN3Cujg&oe=6A2F8941
DYXl3-ypOoD,https://www.instagram.com/reel/DYXl3-ypOoD/,video,2026-05-15T18:02:14.000Z,1778868134,79,2,,1.1628,"When a child realizes that school and family speak the same language, learning flows naturally and with confidence. The family-school relationship is not just a formality; it is the very foundation of a child’s emotional architecture. On this International Family Day, we reaffirm our commitment to being more than just an educational institution. We strive to be true partners in this journey of discovery, ensuring that pedagogical care and family support form the perfect foundation for the future. Happy Family Day! ----------------------------------------------- Quando a criança percebe que a escola e a família falam a mesma língua, o aprendizado flui com naturalidade e confiança. A relação família-escola não é apenas uma formalidade, é a base da arquitetura emocional da criança. Neste Dia da Família, reafirmamos nosso compromisso de ser mais que uma instituição de ensino. Queremos ser parceiros na jornada de descobertas, garantindo que o acolhimento pedagógico e o suporte familiar formem o alicerce perfeito para o futuro. Feliz Dia da Família!",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/696939576_962758449808194_3369443630228482715_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzg5Nzc1MDU3NzIyNjI0NjY1OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=pCnwP7Libf4Q7kNvwHl0TOr&_nc_oc=Ado2He7pVftanXeCwTGwTxetIMIAn1buYCqdo-7dqtmCDTg4j2lmB8dFTt1uxJ1E_UpGOq_4_O5LRzJvog7N91-E&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=1WF1S_nEwSh3ZKm7_U4QsA&_nc_ss=7a22e&oh=00_Af-x9I_PVvtC-uALXwadEZHbmL9VB4-EU4u7JQNjAAi1fg&oe=6A2F92D5
