shortcode,url,type,taken_at,timestamp,likes,comments,views,engagement_rate,caption,thumbnail
DZaFtZAFcW4,https://www.instagram.com/p/DZaFtZAFcW4/,carousel,2026-06-10T13:49:41.000Z,1781099381,173,3,,0.6029,"Esta semana, o BandInvest organizou uma conversa com Leonardo Cabral, Diretor-Executivo e Head de Investment Banking do Santander no Brasil! 💼  O evento foi uma ótima oportunidade para os alunos trocarem conhecimento com alguém que possui mais de 25 anos de experiência no mercado financeiro e que já ocupou cargos de alto escalão em empresas como Ambev e Petrobras. 📈  Os participantes fizeram perguntas e conheceram mais sobre o cotidiano de Leonardo no banco Santander, assim como seu mestrado em Stanford e o futuro do mercado financeiro. 🎓  Além disso, a palestra contou com a participação de Gabriela Bottini e Maria Luisa Nabhan, ex-alunas do Band que atuam na área de Investment Banking do Santander, enriquecendo a conversa com suas perspectivas. ✨  #ColégioBandeirantes  #BandInvest  #MercadoFinanceiro  #FuturoECarreiras  #Investimento",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/721517044_18595020883052885_2827196915093608560_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=MzkxNjQ2NzMwNDAyODAzMzYyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=yq_xjmsSwIMQ7kNvwHjY6vt&_nc_oc=Adp_C8VDwYmUegIVnChvrweP7Xn42Lkk0jPtWuF0Muz-3W3vDuysYybZd9037Vo6hlJIrASA_vkuKyNaAiGnpm0U&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=n5XBnaNgiDqmmglpG9wGrg&_nc_ss=7a22e&oh=00_Af-QxlPTLJ_W0lYf3vp5YEAYgICC3E_Z0MUOkEtzxEGr0Q&oe=6A300A51
DZYEuCnBHB8,https://www.instagram.com/p/DZYEuCnBHB8/,image,2026-06-09T19:03:54.000Z,1781031834,364,4,,1.2606,"Os irmãos e ex-alunos do Band, Su Hung-I e Su Hung-Kuan, retornaram ao Colégio após 44 anos sem vir ao Brasil para uma visita nostálgica ao lugar que marcou suas vidas! 🏫  O mais velho se formou em 1976 e seguiu estudando na Poli-USP e depois em Stanford, enquanto seu irmão, da turma de 1978 do Colégio, ingressou na University of Michigan – todas instituições mundialmente reconhecidas. 🎓  Durante a visita com os monitores do Cultural, eles destacaram que a sólida base educacional e os valores que receberam no Band foram fundamentais para as trajetórias acadêmicas e profissionais que seguiram. 🌎  Agradecemos a visita! 💙  #ColegioBandeirantes #ExAlunosBand  #ComunidadeBand #FamíliaBand #BandCosmopolita",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/720874060_18594799027052885_6939905067875982041_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=MzkxNTkwMDYzMjA4MjcwNjU1Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=rvlu4xeVJjsQ7kNvwEAsiSD&_nc_oc=AdobXrAIDT9TvuXFBRHAgYBXeoZmJ36_9K8DydgenxN5g6xYdji0RGaQx0C5wCDIxGvaLFrxatZrbGTgpOo8CmnF&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=n5XBnaNgiDqmmglpG9wGrg&_nc_ss=7a22e&oh=00_Af-qe2811lXK7uExymxwtainAQGzARX_u7Yzmz7ScR-pHw&oe=6A301852
DZYAnvZFQ0C,https://www.instagram.com/p/DZYAnvZFQ0C/,carousel,2026-06-09T18:26:45.000Z,1781029605,82,0,,0.2809,"Maio: Imigrantes e encontros! No mês da diversidade cultural, a biblioteca do Band preparou uma programação temática sobre imigração. 🌎  Consciente do papel que povos de diferentes países ocuparam e ocupam na formação do Brasil, os encontros focaram em ler e discutir obras que abordam a cultura desses povos e sua presença no país. 🗺️  Além disso, buscamos trabalhar obras que tratam da imigração na contemporaneidade, discutindo questões como: refugiados de guerra, climáticos e imigrantes em busca de melhores condições de vida. 🤝  Também tivemos o privilégio de receber a autora e ilustradora Lúcia Hiratsuka para uma conversa com os alunos do 4.o ano, assim como o escritor Luís Eduardo Matta, recebido pelos alunos do 5.o ano. 🎨  #BandCosmopolita  #ColégioBandeirantes  #DiversidadeCultural #Colband2026 #Imigração",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/720959680_18594791179052885_2006440968592112095_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=MzkxNTg4MTI5MDQ5NDYzMjEwOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=vY5awOF7TJ8Q7kNvwGScPPw&_nc_oc=AdoQCHV4uK9Us-1drOYQJZziP2G3e-tK0B9r6Ex2NmvzocNRzShpGC7qyxaWMFXGpLMyPLbMF43gBv9afyV13MeY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=n5XBnaNgiDqmmglpG9wGrg&_nc_ss=7a22e&oh=00_Af8k6RtPW96cGaE8yHRrdf9UXSu4cQbcMRmVt8ihRTkFMg&oe=6A30024B
DZXo1HVBd5e,https://www.instagram.com/p/DZXo1HVBd5e/,image,2026-06-09T15:00:40.000Z,1781017240,546,26,,1.9594,"Os alunos Catharina Mercaldi, Davi Rothenberg, Gustavo Luz, Luiza Dell Amore e Rafael Mayo, da 3.a série do Ensino Médio do Band, são parte do grupo Astrabrazil, que recentemente chegou na final da International Space Settlement Design Competition (ISSDC) e tornou-se a primeira equipe brasileira da história a chegar nessa fase! 🚀  Considerada a maior competição de engenharia aeroespacial do mundo, a ISSDC conta com o apoio de organizações de peso global no setor, como a agência espacial americana (Nasa). Para conquistarem seu lugar na final, os alunos desenvolveram o projeto V02, que propõe a expansão de uma colônia flutuante na atmosfera de Vênus. 🌎  Parabéns, Catharina, Davi, Gustavo, Luiza e Rafael! Estamos na torcida por vocês na fase final! 👏  Confira a matéria completa em nosso site. 🔗  #NASA #Astrabrazil #ISSDC #ColégioBandeirantes #Colband2026",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/720434740_18594741280052885_1708730882115951101_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=MzkxNTc3Nzk3Mjg4MzU0NTY5NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=tl8KFhEj6UQQ7kNvwErh6Cm&_nc_oc=AdqeRbG5_WhY87CF_53tfRaqfAIah6O9nqF4aAwtkImSAG0NYTg8_DGBgbJWnKUkmxRgcSDA5DVMT63lALfY2PUq&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=n5XBnaNgiDqmmglpG9wGrg&_nc_ss=7a22e&oh=00_Af93z3gaPzvExcpE_aWhM0H3-bPrQNK9M6kCjzFwO9FpRA&oe=6A300CFE
DZVhPARhe2F,https://www.instagram.com/p/DZVhPARhe2F/,image,2026-06-08T19:14:23.000Z,1780946063,82,1,,0.2843,"No dia 23 de maio, as educadoras Lucianne Leigue, Professora de STEAM, e Viviane Nunes, Orientadora Educacional do Fund I, representaram o Band no Encontro Regional da Rede PEA-UNESCO, realizado no Colégio Dante Alighieri, em São Paulo. 🌎  O encontro promoveu reflexões sobre temas essenciais para a educação contemporânea, como cidadania global, diversidade, educação midiática, Inteligência Artificial e direitos humanos. As palestras destacaram a importância de formar estudantes críticos, éticos e sensíveis aos desafios do mundo atual. 💡  A participação das educadoras reforça o compromisso do Colégio com uma educação voltada à formação integral e cosmopolita, à inovação pedagógica e à construção de uma sociedade mais justa, democrática e sustentável. 🤝  Leia a matéria completa em nosso site.   #BandCosmopolita #RedePEAUNESCO #CidadaniaGlobal #ColégioBandeirantes #Colband2026",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/720611090_18594517939052885_7880018631693494433_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ig_cache_key=MzkxNTE4MTYxNzY4OTUyMTU0MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=RhKmnHmrfFgQ7kNvwEc98-S&_nc_oc=Adqrali8rAvL97HBgx3Fjpi9IOSwfjV3yDR3pvEkvvqjVUxV1cktNBk-0m4-GOkddKH3NDQC74udoLgJC-N8zp8F&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=n5XBnaNgiDqmmglpG9wGrg&_nc_ss=7a22e&oh=00_Af_bTBYEQWmR67CHx1nEodFPNrvr6MtGRVrNaFQHfCv4hw&oe=6A301C10
DZNR3SmFh7t,https://www.instagram.com/p/DZNR3SmFh7t/,carousel,2026-06-05T14:25:46.000Z,1780669546,300,19,,1.0928,"Os integrantes da  CCA, Comunidade de Cuidado e Apoio, e suas famílias viveram uma experiência marcante no domingo, dia 31/05, visitando o Memorial do Holocausto, no bairro do Bom Retiro.  Exploramos a história por meio de fotos, documentos e réplicas que nos aproximaram de um dos períodos mais sombrios da humanidade. Tivemos também a oportunidade de ouvir o relato de Hannah Charlier, sobrevivente do Holocausto que perdeu seus pais ainda bebê. Uma história sensível e profundamente impactante.  Experiências como essa nos convocam a algo mais do que conhecer a história. Elas nos pedem que ampliemos nosso senso de humanidade, que nos tornemos mais atentos, mais empáticos, mais comprometidos com a dignidade de cada pessoa. Que reconheçamos que nenhum ser humano é superior a outro por sua origem, sua cultura, sua religião, sua aparência ou sua condição social. E que a memória das vítimas de qualquer atrocidade só é verdadeiramente honrada quando nos recusamos a repetir as lógicas que as produziram, em qualquer tempo, em qualquer lugar, sob qualquer justificativa.  O Colégio Bandeirantes, por meio da CCA, se posiciona contra qualquer símbolo, imagem ou fala que remeta ao nazismo. Não há neutralidade diante daquilo que representa assassinato, tortura e dor.  Nossos alunos e alunas partem dessa experiência com o desafio de multiplicar suas impressões e aprendizagens dentro do colégio e esperamos que, onde quer que estejam, carreguem consigo essa sensibilidade.  Obrigada a todas as famílias que acreditam e apoiam este projeto. Juntos, construímos uma cultura de paz. 🕊️ #ccaband #culturadepaz  #ProtagonismoJuvenil  #somostodocontraobullying",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/716858542_18164963848449074_1887347554390141606_n.webp?_nc_cat=107&ig_cache_key=MzkxMjg1Njk5MzAzOTU4NzI5Nw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTQ0MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=ejctb2TUEugQ7kNvwHnuOqb&_nc_oc=AdopmzP6q6gcwUDo7ujVjcqVBEsa8C54aij_3zRsuNSJ9ZOQSMpdms32gIPeLG5R9kdzel3TwyFEbQe3b_QbRCbK&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=n5XBnaNgiDqmmglpG9wGrg&_nc_ss=7a22e&oh=00_Af89lYKvgWaUpTEjISGAbZhThalgyDANW7g6_L-PKewVrw&oe=6A300501
DZLGtfvkfL8,https://www.instagram.com/p/DZLGtfvkfL8/,carousel,2026-06-04T18:09:50.000Z,1780596590,624,2,,2.1444,Essas foram as estampas dos moletons de 2026! Esperamos que todos tenham gostado!,https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/717236620_18182148364386099_416432459375101846_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ig_cache_key=MzkxMjI0OTcwNDkzNTA0OTAyOA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTIwMC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=yFi-vl1suUcQ7kNvwGt7f9E&_nc_oc=AdoD9wBTYSkNXRJdiW4P-5jW9oLHpZsAwwNNx9HqHiCV-mComEqvMkUvuO9zgQlX7Kxrh8DskNxYEKJVdZ1if9GP&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=n5XBnaNgiDqmmglpG9wGrg&_nc_ss=7a22e&oh=00_Af-j--3sY0VERGZV8OFVuChXOVi5CfC_x8xwE-Jb37fS4g&oe=6A300C3B
DZIm885FY_3,https://www.instagram.com/p/DZIm885FY_3/,carousel,2026-06-03T18:53:51.000Z,1780512831,266,1,,0.9146,"A manhã de sábado foi repleta de música e dança no Band! 🎶  As famílias dos alunos do Fund I foram convidadas a participar do BandBrasil: um evento que celebra a cultura popular brasileira com base nos currículos de Música e Educação Física. 🇧🇷  Do 1.o ao 5.o ano, foram exploradas manifestações artísticas tradicionais como bumba meu boi, ciranda, coco, jongo e maculelê. E o mais legal foi ver as famílias participando das atividades e vivenciando a pluralidade cultural do Brasil de perto. 💃🏻  #Colband2026 #ColégioBandeirantes #Fundamental1 #CulturaBrasileira #CulturaPopularBrasileira",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/713903347_18593099722052885_4573016193656052859_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ig_cache_key=MzkxMTU0NzQ0NjI1MzU1MTk1Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=JyuG-XXnoUwQ7kNvwESDrXy&_nc_oc=AdptUOPWqWUY14ne5rFKsO26tC1W-QdeH2Bsdyg6VpmxyCmMxbSVNL7uPdw7sTpzWwohZU6nkwBEyAdiOdZVD0mJ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=n5XBnaNgiDqmmglpG9wGrg&_nc_ss=7a22e&oh=00_Af8WLzoosxDUqqNQZWS9BpTVBvQxAEM4nk-WEkzt47MOhA&oe=6A301510
DZIiBBolSNo,https://www.instagram.com/p/DZIiBBolSNo/,carousel,2026-06-03T18:10:43.000Z,1780510243,951,8,,3.2851,"Alô, galera de peão! 🤠  A Festa Junina do Terceirão aconteceu ontem e contagiou toda a comunidade Band! Além da tradicional quadrilha dos alunos da 3.a série, o Grêmio organizou a venda de correios elegantes e comidas típicas, como maçã do amor, milho verde, pipoca e muito mais. 🌽  Em parceria com a Stillo’s Formaturas, os alunos também participaram de uma competição de chute ao gol valendo uma camiseta da seleção brasileira de futebol, já entrando no clima da Copa. ⚽️  #ColégioBandeirantes #Colband2026 #FestaJunina #Comunidadeband  #climajunino",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/713663446_18593090260052885_899346084544070622_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=105&ig_cache_key=MzkxMTUyNTQzNjQ3NTU0MjUxNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=t7xrMC04yN0Q7kNvwGaMPO8&_nc_oc=Adp-rnbBkR8cJajeX42DYZ5Ihj4b7oimDVZpNOWQ5nqZO18o4ISJN_at5HZGTrdAufI_aqF0L0aeNMCJPMkD1CXO&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=n5XBnaNgiDqmmglpG9wGrg&_nc_ss=7a22e&oh=00_Af89U1Xz0iWLAhnYtGqfYw5336_W4hZOmhT8ON763Yy-Ng&oe=6A30218C
DZGJfySlbF6,https://www.instagram.com/p/DZGJfySlbF6/,carousel,2026-06-02T19:57:58.000Z,1780430278,74,0,,0.2535,"Na última semana, os alunos do 5.o ano do Fund I fizeram jus ao caráter cosmopolita do Band e exploraram a cidade de São Paulo! Eles foram de metrô ao Museu de Arte de São Paulo Assis Chateaubriand, o MASP, em uma saída pedagógica. 🖼️  A visita articulou os componentes curriculares de Arte e Ciências Humanas e aconteceu a partir do tema “Histórias da América Latina” e da exposição Réplica, da artista peruana Sandra Gamarra Heshiki.  Os alunos do Fund I puderam revisitar criticamente imagens coloniais e questionar as narrativas tradicionais dos museus por meio das réplicas de Gamarra, abrindo espaço para outras memórias, vozes e histórias da América Latina e contribuindo para a compreensão da importância da valorização dos saberes e identidades indígenas latino-americanas. 🌎  #MASP #BandCosmopolita  #SaídaPedagógica  #ColégioBandeirantes #Colband2026",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/713663835_18592806058052885_1619733487173031306_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=108&ig_cache_key=MzkxMDg1NDkwMDUwMjE5MDg1Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=-rABtScx6HUQ7kNvwHL168f&_nc_oc=AdqP-8zbbjmj5-s5LcfVG9vQnEB9LubIxXe1jrKOFqDM-s420nuKShz7X8Q52Y6lGxqBxRM4dzwrkoBrE_4WZ1no&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=6TbzW1vt7z6FlH6rl19xUw&_nc_ss=7a22e&oh=00_Af8x2oAbHqmYDyRZ0EpiUsIcSC5jjRIfyVSR-69t_m-1tw&oe=6A301D5A
