shortcode,url,type,taken_at,timestamp,likes,comments,views,engagement_rate,caption,thumbnail
DZDkJIGhkS5,https://www.instagram.com/reel/DZDkJIGhkS5/,video,2026-06-01T19:56:01.000Z,1780343761,60,0,,0.2055,"O Tinkering & Gambiarra é uma Atividade Complementar para os 6.os e 7.os anos que mistura Arte, Ciência e Tecnologia! 🤖  Seu objetivo é proporcionar desenvolvimento de habilidades manuais e de adaptabilidade, improvisação e transformação de objetos do cotidiano. 🛠️  A produção mais recente feita pelos participantes este ano são robôs de desenhos! Veja o resultado incrível no vídeo! 🎨  #ColégioBandeirantes #Colband2026 #CiênciaeTecnologia #Habilidadesmanuais #Fundamental2",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/712409958_2193892098101257_914881397511303892_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=MzkxMDEyNzg1ODMzNjgxMDE2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=rDBsTI7EKSsQ7kNvwHCv6wL&_nc_oc=AdoJiBCdQ3mVN5Jde7AnFu6Ej9ZOxN4ayfXSPCgKuq1T0cx95jfYIEqMroakRyV9EVokiagX0dZN4IYxbstwmuXO&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=6TbzW1vt7z6FlH6rl19xUw&_nc_ss=7a22e&oh=00_Af9q3baO1SBJPPVytbiXy0gkK_aSm05MvAkIzQ95ONKdgQ&oe=6A300E3C
DY73biyhpfD,https://www.instagram.com/reel/DY73biyhpfD/,video,2026-05-29T20:08:52.000Z,1780085332,229,9,,0.8153,Registros de um dia mais que especial! 🎬  A nossa sessão exclusiva de “O Diabo Veste Prada 2” para as mães do Band foi um verdadeiro sucesso. Assista ao vídeo para conferir os melhores momentos do evento e os depoimentos de quem esteve presente. 👠  Mas não para por aí: temos muito mais relatos de mães que amaram a iniciativa! Fique ligado no nosso Insta para não perder nenhum deles. 💬  #DiaboVestePrada2 #Colband2026 #ColégioBandeirantes #FamíliaBand #DiaboVestePrada,https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/709079098_962949763193456_5030238137134259459_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=MzkwNzk2MDg4NzAxMjkyMzMzMQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=vUpdyyiu1iQQ7kNvwFFQ8rN&_nc_oc=Ado8kMZPqX8iFTeBu6rBsnyFdqETixC9phIcsbLznMMG-Bp7fgeWnPYv37HWImi1WESG-i8umIjvEYvfKUF8tfHH&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=6TbzW1vt7z6FlH6rl19xUw&_nc_ss=7a22e&oh=00_Af9WfmCc8301Mg1LoQKfGRrLL52SALnqPtszjtEYk1azGA&oe=6A3037D5
DY7FG0nhlue,https://www.instagram.com/reel/DY7FG0nhlue/,video,2026-05-29T12:55:56.000Z,1780059356,236,8,,0.8358,"Quem aí está animado para a Semana de Humanidades deste ano? As professoras Luísa e Sofia deram um spoiler para gente do que vem por aí e a programação está imperdível! 👀✨  As iniciativas têm início com o MONU-EM no sábado e seguem ao longo da próxima semana, dos dias 01 a 03 de junho.  Do Fund I ao Ensino Médio, esta edição vai discutir as violências contra a mulher, masculinidade no século XXI, o papel da mulher na sociedade, a representação do feminino nas artes e muito mais.   Vamos construir um futuro melhor juntos? 🤝  Confira a programação no site do Band: colband.net.br  #Colband2026 #ColégioBandeirantes  #SemanadeHumanidades #Feminismo #MulheresInspiradoras",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/708451067_3935303793433295_2455645409461299129_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=MzkwNzczOTU2MDcyMTE0NDczNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=LDGrKExWTlEQ7kNvwGKn3Hp&_nc_oc=AdrI3gjrD4rlEAhVoJG6rMX_dmGV6lZ1P1CfTXI6keZWZR7R7uQYXUq6CHUOyxxgwHLtTBNphSP4fJ9_j9UCEiBv&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=6TbzW1vt7z6FlH6rl19xUw&_nc_ss=7a22e&oh=00_Af_hBV5qWuN753iNtUpsh7F62UAtNVf2pPk1tYIz1Qb7xQ&oe=6A300F56
DY2oDU9hABg,https://www.instagram.com/reel/DY2oDU9hABg/,video,2026-05-27T19:20:51.000Z,1779909651,96,2,,0.3357,"Desta vez, quem comandou o BandCast foram os membros da CCA (Comunidade de Cuidado e Apoio)! @ccaband.alunos 🤝  Eles entrevistaram Vanessa Rozan, maquiadora, apresentadora e curadora de beleza e bem-estar, para discutir sobre os padrões estéticos e seus impactos na adolescência.   Fique de olho por aqui para conferir os cortes que iremos publicar e confira o episódio completo no Spotify e na Amazon Music! O link está na Bio! 🎧  #BandCast  #ColégioBandeirantes #ColBand2026  #ProtagonismoJuvenil #ConvivênciaÉtica",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/707477787_1416176827042502_2669142322266581601_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=MzkwNjQ4NTg3NzMxNjI1NTg0MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=e0vT58VA7q4Q7kNvwH_Gdr1&_nc_oc=Adp_Cnj7bHIw38VyihQpqjCQYtYa-HcZOeDlenOgRBO_lzobQcpL11YtA2WTwUDR6qUeBOeRiRsNN8cGNK10O3HY&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=_8KiRK3ZSFAW_570mlLZwg&_nc_ss=7a22e&oh=00_Af_zajRFkFZY2S6CfPCdOoj5QVKDz9-aOCucmTWhegpVxg&oe=6A3006BA
DYx0iRnBYiA,https://www.instagram.com/reel/DYx0iRnBYiA/,video,2026-05-25T22:37:13.000Z,1779748633,217,7,,0.7673,"“O Band que fica em mim é o Band família!” 🅱️  Além do suporte na escolha do curso e na preparação para os vestibulares, os ex-alunos Mariana Fogarin, Pedro Garbuglio e Samuel Basbaum, que participaram da conversa sobre Administração e Economia com a 3.a série, destacaram a relevância do apoio emocional da comunidade Band, vindo tanto dos professores quanto dos colegas. 💙  #Administração #Economia #EuFizBand #Colband2026 #FuturoECarreiras",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/708333328_1505638877923995_4920395416998721742_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=MzkwNTEzMzQwNTY5NjAwMjE3Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=99ayJ7nFyl4Q7kNvwFFM_Oq&_nc_oc=Adoyu-lqYz4P7pxGueAVfy6VHh5LTLiQyh24i_QI5VswIuVFaSda2awIglNiNWHKnOIf4TQxf1x-dEhcu5kooSJy&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=_8KiRK3ZSFAW_570mlLZwg&_nc_ss=7a22e&oh=00_Af8U_5S9uozaK_aMy2d7IcVs5Y8UYMt-F6sVKZQzM9wQnA&oe=6A302DD6
DYkdE9dBfsJ,https://www.instagram.com/reel/DYkdE9dBfsJ/,video,2026-05-20T17:56:07.000Z,1779299767,322,5,,1.1202,"Os abraços dizem muito, sejam eles de reencontro, de conquista ou de gratidão. 🤗✨  No Dia dos Bixos, cada abraço carrega uma história e uma emoção! Entre sorrisos, lágrimas e celebrações, o gesto simboliza todos os laços construídos ao longo dos anos no Band. 💛🎓  #DiaDosBixos #AprovadosColband  #Vestibular2026 #ColégioBandeirantes #Colband2026",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/703988405_1568445828179404_3996178601700924681_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=MzkwMTM3MTA2MTQyMTYwMzU5Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=q3p_LXPE2t0Q7kNvwHsEl5z&_nc_oc=AdqZrbXhLUFKE8-0ECz-gT3CgfNZV2DI-WOCnAJrJ954Lu0CyOuJA0UvsR3Cs60zA3xgQtC1zt-4aIyAOk1pXE5M&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=qiA_AZGOJ3ML9odJJtY3qA&_nc_ss=7a22e&oh=00_Af9k0s_vDhBWUjGF5gDm6jTc-oZcVpyUl8WrF2_IJzTZow&oe=6A302F67
DYh81eaBM6X,https://www.instagram.com/reel/DYh81eaBM6X/,video,2026-05-19T18:35:56.000Z,1779215756,653,13,,2.2814,"⚽️ O clima de Copa do Mundo já começou por aqui! 2026 chegou e, claro, os alunos já estão colecionando as figurinhas para completar o álbum!  🇧🇷🏆  Você sabia que essa febre vai muito além de um simples passatempo? Ela também é uma forma de se enturmar, negociar e aprender a lidar com frustrações.   Assista ao vídeo e conheça alguns dos benefícios de completar o álbum! 🤩",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/702830040_1308732001370153_8727745295246470051_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=MzkwMDY2NjMwOTg1MTI3MDgwNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=PBSnwFKWjwwQ7kNvwFFTl8L&_nc_oc=Adq5X9aeAi1OaeEOPDRII05I2qe1pmzNOXczXYqjp3jO1Ocl-ku8wMxVP8bw8eeoJrOc7fRGx8ZeQGwgqe_kTJds&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=qiA_AZGOJ3ML9odJJtY3qA&_nc_ss=7a22e&oh=00_Af_x88gD15Ue71TZgK7Xwuh_VIDljOkV2iXvIXExc_FUfg&oe=6A302181
DYfi_FsBrfc,https://www.instagram.com/reel/DYfi_FsBrfc/,video,2026-05-18T20:11:37.000Z,1779135097,55,1,,0.1918,"Temos que parar e curtir o momento! 🤩  🎥 No último corte deste episódio do BandCast, os Professores de Educação Física Daniela Godoi, Carlos De Simone e Paulo Godoi conversaram sobre a importância de vivenciar experiências e conquistas antes de partir para o próximo desafio.  Quer assistir ao BandCast completo? Acesse o nosso Youtube! 🔗  #BandCast #PodCastDoBand #EducaçãoFísica #ColégioBandeirantes #Colband2026",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/702404185_1883858982294089_3024223763554000652_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzg5OTk4OTY3MTM0MTg5NzY5Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=uwDSFpalnOcQ7kNvwF6a7zE&_nc_oc=AdrHqU6aCc4R1p2Wt6pmI0LMAw4KAHyjd-SREnFRtNiXeOc_x74p0DUXiW9uxyt9oxZGomBAiXwesrSB9vN3IOnb&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=qiA_AZGOJ3ML9odJJtY3qA&_nc_ss=7a22e&oh=00_Af82hD4PtpKb90nApX7EiskkfTXkFiXTccR0yW1PSaj6KA&oe=6A3003DA
DYXDFwsh4g-,https://www.instagram.com/reel/DYXDFwsh4g-/,video,2026-05-15T12:59:29.000Z,1778849969,130,5,,0.4625,"Missão dada é missão cumprida! 🤩✨  🔍 Os nossos detetives mirins do 1.o ano do Fund I aceitaram um grande desafio: desvendar a identidade de uma pessoa misteriosa.   🫆Para chegar ao objetivo final, eles precisaram encontrar pistas e decifrar enigmas com base em características que nos tornam únicos, como impressões digitais, DNA, íris e até fio de cabelo!   🎥 Eles puderam aprender de forma divertida, explorando diversos espaços do Band. Quer saber quem era a pessoa misteriosa? Assista o vídeo até o final!  #DetetivesMirins  #Escape  #FundIColband  #ColégioBandeirantes  #Colband2026",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.82787-15/700907011_18587185195052885_200970644442086615_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzg5NzU5NzU5MjUzNjA1NzkxODE4NTg3MTg1MTg5MDUyODg1.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=XziE94qDQHkQ7kNvwF4VHvx&_nc_oc=AdrThRRQuiPAus9-xMuStV4t6vyLgEgybBpcBZ4-u1snLzz977GaYWcjDSNmdoG_yLKyKNEnFSk7m9yLc8qdnyjV&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=CCHaUwo9VHVTCASQBqbcxQ&_nc_ss=7a22e&oh=00_Af_15-YDNfQaLjmVKPhnQkXGGrcBQS5fCJ-P9VzpTBpzoA&oe=6A301FAB
DYU-8jiBugm,https://www.instagram.com/reel/DYU-8jiBugm/,video,2026-05-14T17:44:52.000Z,1778780692,105,5,,0.3768,"🗣️ O mais recente encontro da Comissão de Marketing do Educational Leaders, grupo que reúne líderes de marketing de colégios de todo Brasil, levantou um debate essencial: o antirracismo nas escolas.  Presidido por Ricardo Aguirre, Head de Marketing do Band, o grupo recebeu Leo Bento, do Instituto Inaperê, para discutir os impactos dessa pauta na cultura, na formação dos alunos e na imagem das instituições.   🎥 Assista ao vídeo e confira alguns dos pontos centrais que foram discutidos nesse encontro, que reforçou a urgência de construir escolas mais coerentes, humanas e preparadas para um mundo cosmopolita.  @inapereconsultoria  @educationalleadersbr  @schooladvisorbr   #Inaperê  #AntirracismoNasEscolas #EducationalLeaders  #ColégioBandeirantes  #Colband2026",https://instagram.fcgh9-1.fna.fbcdn.net/v/t51.71878-15/696242675_1048392168365007_3488267061184773483_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzg5NzAxNjQxNzc4NjQ1NjEwMg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=KOIzqgiyAxEQ7kNvwF6JSNe&_nc_oc=AdrHH0FwmrFpVi9eH1NUPWh7Z6FMwef-Qkw1uop_jRRhNPECXMJl3sqMBORzzPEDBAX5hzUqaUrQ-jVe80DQrUK7&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fcgh9-1.fna&_nc_gid=CCHaUwo9VHVTCASQBqbcxQ&_nc_ss=7a22e&oh=00_Af-vXILOiuPgP45kMw7b9_XP5WAwSHYl_-YYh5tpTqdTqA&oe=6A3023F6
