shortcode,url,type,taken_at,timestamp,views,likes,comments,duration,caption,thumbnail
DYz2YWbNytg,https://www.instagram.com/reel/DYz2YWbNytg/,clips,2026-05-26T17:29:37.000Z,1779816577,21276,803,20,128.218994140625,"Ele é um artista tão completo que não me surpreende ser tão bom criando conteúdo! Me faltou tempo de vídeo para dizer todas as coisas que aprendo com o @illumiro - eu pessoalmente não perco 1 vídeo e amo cada formato que ele cria, inclusive Lumi, saudades da criatividade em pessoa 💜",https://scontent-for2-2.cdninstagram.com/v/t51.71878-15/708333722_2398859343943657_2655282137984731366_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=MzkwNTcwNDQ2OTcxODMxMzgyNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=gIkOpUmPrOgQ7kNvwGZmrEN&_nc_oc=Adqe0wSVDILR91GkbYmBf-_iPgD2UeCkmAndao7XZhXLGZo682aFKOfC-BywOoVlCQs&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-for2-2.cdninstagram.com&_nc_gid=L9STjaDlvRm2D4h4wCsnvA&_nc_ss=7a22e&oh=00_Af4bSltF07VGfqym6PKI_R2GffooWjpeAz4qKEcZyYdQaw&oe=6A1BD169
DYko7TgNDxF,https://www.instagram.com/reel/DYko7TgNDxF/,clips,2026-05-20T19:44:51.000Z,1779306291,137124,9233,44,86.0510025024414,"quando aprendemos isso em casal, conseguimos lidar melhor até no relacionamento com nós mesmos.",https://scontent-for2-1.cdninstagram.com/v/t51.71878-15/704032372_27136223522639687_8761587233247426792_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=MzkwMTQyMzE3NDQ2MDY1MjYxMw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=VnfCB4Uv-AQQ7kNvwHa8YCG&_nc_oc=AdrqHLIS-6tiokbyG7Kh7e83v5bi7MPVxusNTQZbrL6GBCP3sZb0oHpbHhNxu5XYXk4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-for2-1.cdninstagram.com&_nc_gid=L9STjaDlvRm2D4h4wCsnvA&_nc_ss=7a22e&oh=00_Af4ObJJrnlir_aXfaLqWrmy6_J-B0trdnZEfo2Jcgmd4dg&oe=6A1BEDF5
DYSMw8NNxBd,https://www.instagram.com/reel/DYSMw8NNxBd/,clips,2026-05-13T16:18:00.000Z,1778689080,201088,10544,68,76.04499816894531,mudanças 💗,https://scontent-for2-2.cdninstagram.com/v/t51.71878-15/696907798_983240447532080_8423050933850459902_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=Mzg5NjIzMjc2NzM2ODEzODg0NQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=oZ3RWe1jpDEQ7kNvwH4cb7E&_nc_oc=Adq7r7HDYfCtvIppyEcUIzoh9a4tdliHWyTOATAtlOBAjkakB3MKwoWAfL9Oe3gouiU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-for2-2.cdninstagram.com&_nc_gid=L9STjaDlvRm2D4h4wCsnvA&_nc_ss=7a22e&oh=00_Af4CPGrVXF6lhW8aVYaU6ojPrA5u6_RZvxDXW_Mg_R5INA&oe=6A1BBC2F
DYCvRxZtuBS,https://www.instagram.com/reel/DYCvRxZtuBS/,clips,2026-05-07T15:46:50.000Z,1778168810,402305,20612,97,161.16799926757812,"eu já me sentia amiga da Carol e muito antes de conhecer ela pessoalmente, isso acontece porque ela é A MELHOR em usar o conteúdo para gerar conexão! o Efeito Jornada não me deixa pular nada que ela posta, afinal, agora sou titia virtual da pequena Meimei! 💖🐰✨",https://scontent-for2-1.cdninstagram.com/v/t51.71878-15/683833302_953445964142449_2032995240406051021_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzg5MTg4MDk1NzQ2MzQyMTAxMA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=Ib1bojYrjJMQ7kNvwGD2eB9&_nc_oc=AdqXBAuidV5tZcSq4MfPmP1TIw0jiPprUYHtBzVd4NyQW34RvekNowk7oHb1DdF1TtA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-for2-1.cdninstagram.com&_nc_gid=L9STjaDlvRm2D4h4wCsnvA&_nc_ss=7a22e&oh=00_Af5q2BAiaCvirwykzCnvfXrnUYxCGpSqXFMpEPswXwAwrg&oe=6A1BC51E
DX5FXQPhWZF,https://www.instagram.com/reel/DX5FXQPhWZF/,clips,2026-05-03T21:44:58.000Z,1777844698,3159024,401854,1328,91.02200317382812,amor é decisão. ❤️,https://scontent-for2-2.cdninstagram.com/v/t51.71878-15/658387905_2435812846930352_6685668066526694339_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzg4OTE2MzM0MTQzMTkyNDI5Mw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=RLkLBjHe0d0Q7kNvwGPThhT&_nc_oc=AdrTLmlTzp_bYDLPodPb_zrtnYfqDDlPQweXnIEbQ_2P2gmiPY2UtPvfFCUDIV2SD3s&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-for2-2.cdninstagram.com&_nc_gid=L9STjaDlvRm2D4h4wCsnvA&_nc_ss=7a22e&oh=00_Af4Zerf5jv_FRa50a7JBrQhMV_1QPkLLjiIByzqpcQLlTw&oe=6A1BCC78
DXZQuU3ja97,https://www.instagram.com/reel/DXZQuU3ja97/,clips,2026-04-21T13:11:34.000Z,1776777094,136590,4123,290,91.71800231933594,"eu tinha medo do escuro, depois medo de falhar. mas agora escolhi ter medo de desistir pelo medo - e só assim pude acender a luz e ver as coisas mudarem. ☀️   🎥: @clayver___ foi uma honra ser dirigida por VOCÊ e seu time, obrigada por cada troca. o melhor!!!!! 💙",https://scontent-for2-2.cdninstagram.com/v/t51.71878-15/670788879_26501515159477565_7894763870854818418_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzg4MDIwNjEwNjIwMzM2OTMzOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=Wzq680mAIR0Q7kNvwESvFpZ&_nc_oc=AdpY8QNfg4KPQJASs_YpZt-X2zcBW312s-qMFLEM3vSrjg9bRwqjx1CCnyq47Q7eEtA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-for2-2.cdninstagram.com&_nc_gid=L9STjaDlvRm2D4h4wCsnvA&_nc_ss=7a22e&oh=00_Af6p47FQUbnV6hlTXrd69rtXe9-gLQAue3lZzijPTx4FJw&oe=6A1BE936
DXSWgdXDuCY,https://www.instagram.com/reel/DXSWgdXDuCY/,clips,2026-04-18T20:42:51.000Z,1776544971,225695,7844,560,332.50799560546875,"uma carta pra você aberta pra VOCÊ, meu agradecimento aos participantes e minha promessa ao meu futuro! 💌💯🔮",https://scontent-for2-1.cdninstagram.com/v/t51.71878-15/670779018_1757797261862372_3863677885089035025_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzg3ODI2MTIxNjY5MTI4MjA3Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=JzoTHBqmOl8Q7kNvwE8-uq5&_nc_oc=AdpjCNFBgKT9Ub1Um4DofBY-0dA1Dej_rvcepRRGK3qLvXNoWxGkRKDC-EZTaKH9VGA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-for2-1.cdninstagram.com&_nc_gid=L9STjaDlvRm2D4h4wCsnvA&_nc_ss=7a22e&oh=00_Af4rpGwukW01nQqIXhJ5AgfPLN_vnfE0oobNZVFLiI7EaA&oe=6A1BBAFA
DXMnTRgjf2C,https://www.instagram.com/reel/DXMnTRgjf2C/,clips,2026-04-16T15:14:01.000Z,1776352441,215523,3716,304,77.3219985961914,"💯 FORMATO COMBINADO é o último formato do desafio, e ele é o 1º passo para encontrar O SEU formato, com sua própria personalidade: você une 2 ou mais formatos que você mais gosta e cria algo único seu.   Topa o Desafio? Escreva FORMATO CRIATIVO para acessar a plataforma, lá tem uma curadoria de referências pra você criar usando ele e na comunidade tem aula ao vivo de como editar esse formato!",https://scontent-for2-1.cdninstagram.com/v/t51.82787-15/670788319_18546843172070133_2663415676786148404_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzg3NjY0NjIyNzU0MjkzMjg2NjE4NTQ2ODQzMTY5MDcwMTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=VtHpxHoGnC0Q7kNvwEowXZN&_nc_oc=AdoKoUUdANko2uj0OL1uZhqTTmpy5OM5mCPwCVpFeCNoX25j4H3Map2OieGOXXYZacA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-for2-1.cdninstagram.com&_nc_gid=L9STjaDlvRm2D4h4wCsnvA&_nc_ss=7a22e&oh=00_Af72D2NclkS_bwGUGsrRJVxaWhjCqyq29FzgqyTL1tHW7Q&oe=6A1BE13A
DXJ9vPyDSSN,https://www.instagram.com/reel/DXJ9vPyDSSN/,clips,2026-04-15T14:31:04.000Z,1776263464,140931,3688,153,80.43299865722656,"💯 O NARRADOR (que é diferente de “narrado”) é um formato que começou como uma trend, mas funcionou tanto de formas originais que virou um formato oficial até hoje (o capcut tem essa ferramenta de narrador) - ele é super envolvente já que você conversa com “uma voz do além”.  Topa o Desafio? Escreva FORMATO CRIATIVO para acessar a plataforma, lá tem uma curadoria de referências pra você criar usando ele e na comunidade tem aula ao vivo de como editar esse formato!",https://scontent-for2-1.cdninstagram.com/v/t51.82787-15/670739608_18546843607070133_9138320496330152048_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzg3NTkwMDQ4MTkyNzQ1NTg4NTE4NTQ2ODQzNjA0MDcwMTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=9k7oKzl6tJUQ7kNvwFXnMLN&_nc_oc=AdrTAYUTQ3OziPNx4n2hD1raugdweFYd_Gn0K-xfXJrTj74LCCO34fmgQmdfmHOvWkk&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-for2-1.cdninstagram.com&_nc_gid=i2yMR1jadlf7zQS7geaHWQ&_nc_ss=7a22e&oh=00_Af5isDYwxNOzU-WVeMqRpP7yL2iluR0wXKR0bJQ8q6CQ8g&oe=6A1BD418
DXHYCNIjYbP,https://www.instagram.com/reel/DXHYCNIjYbP/,clips,2026-04-14T14:26:05.000Z,1776176765,127830,4561,194,107.50800323486328,"💯 ANALOGIA é um formato que funciona porque facilita o entendimento do seu público para e compreender a mensagem que você quer transmitir.  Topa o Desafio? Escreva FORMATO CRIATIVO para acessar a plataforma, lá tem uma curadoria de referências pra você criar usando ele e na comunidade tem aula ao vivo de como editar esse formato!",https://scontent-for2-2.cdninstagram.com/v/t51.82787-15/670525440_18546412264070133_8210167724577536934_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzg3NTE3MTcwOTAzMjk1NzY0NzE4NTQ2NDEyMjYxMDcwMTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=fdarFVFhihgQ7kNvwHRFz-x&_nc_oc=AdqxrrQ3VTpbrJ0fm646bsC0YzWJyK0aje41SB8nkcyvSfLerD6UP7GvYW-Ii4W1hKI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-for2-2.cdninstagram.com&_nc_gid=i2yMR1jadlf7zQS7geaHWQ&_nc_ss=7a22e&oh=00_Af65j-pCGtjbJn2kQ-TC1EmuNOd7v70K46hhUxN3PcxAag&oe=6A1BEAC8
