shortcode,url,type,taken_at,timestamp,views,likes,comments,duration,caption,thumbnail
DY26uSQMXb9,https://www.instagram.com/reel/DY26uSQMXb9/,clips,2026-05-27T22:00:08.000Z,1779919208,,215,9,,"Virgínia Fonseca tem 56 milhões de seguidores, a média de views dela de um vídeo “flopado” é de 20 milhões de views. Se entrar no perfil dela vai ver que tem vários vídeos nessa média. Quando ela acerta um conteúdo, a média passa dos 30 milhões.   Ou seja, ela também tem conteúdos “normais” pra média de seguidores. A diferença é que o volume de views, pra nós mortais, fica parecendo que todos os vídeos dela sempre funcionam.   Então, tire um pouco da pressão pelo viral, e simplesmente grave aquele conteúdo que você iria gostar de assistir.",https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/708294331_2235364213871883_805042609380493736_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=MzkwNjU2Nzk5NDE4MzA4Nzg2OQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=n0W8MgQ6oGsQ7kNvwHtJtT_&_nc_oc=AdqtUCSfhNBLKRgWuCbofqxcMayiBtje7rSsa0Ia6VwTOeFBOMBgzo1hCODDpNRJy2Lp1futJZ6VpGsCY_xG7Xqy&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=j-g-EvuDtrM1lOCDXoKnvQ&_nc_ss=7a22e&oh=00_Af6RWjDZnJ4ZH5vutJ-3eqzUJJfFJ1721KVeheVizH9PNw&oe=6A1D980C
DY2KsVRM2dw,https://www.instagram.com/reel/DY2KsVRM2dw/,clips,2026-05-27T15:00:09.000Z,1779894009,,872,55,,O truque que eu uso pra editar o conteúdo mais rápido,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/708049153_2057456774981558_7243354910139417301_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=MzkwNjM1Njc1Mzc0OTczMTE4NA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=QXMiOq7QpdwQ7kNvwHbFk-h&_nc_oc=AdrjPeKdqJ1XlEU-J63BBk5PIYKjtp8oES1vKiYY1W45Ww6wjeFtcI890LxjDLekdjOWKj-YKGbU382v29FbR59w&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=j-g-EvuDtrM1lOCDXoKnvQ&_nc_ss=7a22e&oh=00_Af7JLQ9k_LgNIJi83WMbS2Elfj_fvFLNpq3rLlxImMwXvw&oe=6A1D639D
DY2D0utsjZ3,https://www.instagram.com/reel/DY2D0utsjZ3/,clips,2026-05-27T14:00:08.000Z,1779890408,,146,19,,Nunca confie quando te chamarem pra fazer trilha de bike,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/706831574_1032115242720358_5636839182182230925_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=MzkwNjMyNjU0NDUwMTU4NTUyNw%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=ElwwChJaJWoQ7kNvwG_K_fF&_nc_oc=AdrO6K8YZ6dUCbmdeqiKPOQJWc5XqLNmKO13ydKsj7YsJA5gLBfB9RqpEI54dzxg8q33RKxmktC6d10zNB5uCwiT&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=j-g-EvuDtrM1lOCDXoKnvQ&_nc_ss=7a22e&oh=00_Af7cVVZY_fQffdmEcrPdtnR4mbgY9XriXg8CXiVYt8PDog&oe=6A1D82A7
DY187feM7lM,https://www.instagram.com/reel/DY187feM7lM/,clips,2026-05-27T13:00:08.000Z,1779886808,,568,4,,Qual o seu menor salário?,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/706881039_1677695116766666_3113879860761225477_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=MzkwNjI5NjIyMjg0NjI2OTc3Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=8atD3p4WQLsQ7kNvwGZhifv&_nc_oc=AdoqOG6cDjQFfPDS28dGG51Ks_x4aou-gMA51Vpa2nDdl7EQVP-XjbKbVUodvdbLicH26Q52awEj_MHn3Jf0RL8G&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=j-g-EvuDtrM1lOCDXoKnvQ&_nc_ss=7a22e&oh=00_Af57O80cYj148QPzwwFtZxMmcHl4bXcsfq2baOIElDDH-g&oe=6A1D63FB
DY12EBmMnm6,https://www.instagram.com/reel/DY12EBmMnm6/,clips,2026-05-27T12:00:10.000Z,1779883210,,207,51,,Como as pessoas acham que nascem as ideias de conteúdo x como realmente uma ideia nasce,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/706704849_26955898427406557_6167234796513544865_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=MzkwNjI2NjAyMjkxNzg2Mzg2Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=bt5DBkKZmcsQ7kNvwFIXTRR&_nc_oc=AdrKisB9IHvCHDRcO2va_Z32vpB-TsJMjUGxRz7WXECemu0X_zeXnp1qnf5gZg6FVJM0KgZPO9rUW4pej_l7p3yA&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=j-g-EvuDtrM1lOCDXoKnvQ&_nc_ss=7a22e&oh=00_Af4r_NmY4lg1p-dixNu8E0q9roaor5Q9PGzLmJCGcbl-Gw&oe=6A1D840B
DY1z09JhPx5,https://www.instagram.com/reel/DY1z09JhPx5/,clips,2026-05-27T11:40:12.000Z,1779882012,,90,1,,Bati 400 mil seguidores em 1 ano com este tipo de carrossel,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/707506526_2437643426683449_7957896263921499272_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=MzkwNjI1NjE5MTI1NjU5MTQ4MQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=YuFhDWigQPMQ7kNvwG-JLzy&_nc_oc=AdqBMpitCyxIhBshqqwodeuyc3aVlWYdYfqHFkCl3ocZARPRhUWRx9318ebemdWvJOBgrrGT4Sow8FbO45fn6bmU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=j-g-EvuDtrM1lOCDXoKnvQ&_nc_ss=7a22e&oh=00_Af4RY5WPnDVym-qgPMeWI6cnm1oJILATAF61TAsFUm766w&oe=6A1D69BC
DY1vNFvsH2f,https://www.instagram.com/reel/DY1vNFvsH2f/,clips,2026-05-27T11:00:09.000Z,1779879609,,559,116,,"Não importa quantas vezes você vai cair, mas sim quantas vai se levantar 🤣 Bom dia!",https://instagram.ffor25-1.fna.fbcdn.net/v/t51.82787-15/709680282_18353468938240868_8091375438546684670_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=MzkwNjIzNTg1OTUyMTc5NzUzNTE4MzUzNDY4OTM1MjQwODY4.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=hBMZDJxy4kMQ7kNvwHCM5uw&_nc_oc=Adrsl11szADe_aNLUNOP0kCji8-TRcz0iuTZ5CTsIDHV3xr2T-4oDUuBrQTs4CY0GFtuBKBPdbviUtZ7lg6v-QNc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=j-g-EvuDtrM1lOCDXoKnvQ&_nc_ss=7a22e&oh=00_Af4ejqaYyIikvwJ7LuONnc5bmkmjyozE7RUaY_1VnDbljQ&oe=6A1D726B
DY0V6H7hRyW,https://www.instagram.com/reel/DY0V6H7hRyW/,clips,2026-05-26T22:00:12.000Z,1779832812,,112,20,,Só quem tem alergia vai me entender,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/703947689_1688218262209571_6582911814450181286_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=MzkwNTg0MzEzMDA1ODIxODY0Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=AW8j8aDosjEQ7kNvwFwzhKE&_nc_oc=AdoliqI55TEjmqflChwkuCkDOfIjJTUMAXqAe0PC2WHY3RMiLLSe4BQcceuLTyOpEcRF4rGZLF2m-sATpCV7Fm37&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=j-g-EvuDtrM1lOCDXoKnvQ&_nc_ss=7a22e&oh=00_Af7BPVcjsCiAKHbqFzwFa7GeEmEo8fmmp3TStgSWB_Tw4g&oe=6A1D7EB3
DY0Sje0vx8I,https://www.instagram.com/reel/DY0Sje0vx8I/,clips,2026-05-26T21:31:17.000Z,1779831077,,311,47,,Olha só quem é o novo garoto propaganda da @metaforbusiness ❤️❤️,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/709155874_1120303241174306_882611657514449202_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=MzkwNTgyODM3OTk1MzE0MzU2MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=ENTj_4aWWI4Q7kNvwHWI4tP&_nc_oc=AdrC7JNcyPobk9XuB0K-pjP3Sux3dtvguvsrZp_iWr1_twOHThvKASlXstIYPTWR3SPgMosGwE1qnpz-1D_NETdI&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=zI8xHV1W_KhyqRmtnnTlhA&_nc_ss=7a22e&oh=00_Af5Ddue5EgA4-4Ur9vxduw9JC2Cs4eLk_vjmFSiBN2udbA&oe=6A1D6C00
DYzsvfdBF9e,https://www.instagram.com/reel/DYzsvfdBF9e/,clips,2026-05-26T17:20:01.000Z,1779816001,,28,3,,Eu preciso aumentar as minhas sessões de terapia 🤣,https://instagram.ffor25-1.fna.fbcdn.net/v/t51.71878-15/706035722_992752200106589_3927228322641816910_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=MzkwNTY2MjA3OTQ5NTA2OTUzNA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=wz7NRv-xY7YQ7kNvwHj4bZo&_nc_oc=AdoDdem8gnyahZS4n89HZ6ckBEbtiQWMm2jQ_9fCJWGKItfhjvoHZE0YmfJFAuvIN4ttAB-ImL37FDMiOSj45dwb&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.ffor25-1.fna&_nc_gid=zI8xHV1W_KhyqRmtnnTlhA&_nc_ss=7a22e&oh=00_Af74xq22zqL3wOYBvOnwndaGWTlUefBdQaO-X9c3vz5trg&oe=6A1D6C42
